,rank,title,author
0,1.,Don Quixote,Miguel de Cervantes
0,2.,Alice's Adventures in Wonderland,Lewis Carroll
0,3.,The Adventures of Huckleberry Finn,Mark Twain
0,4.,The Adventures of Tom Sawyer,Mark Twain
0,5.,Treasure Island,Robert Louis Stevenson
0,6.,Pride and Prejudice,Jane Austen
0,7.,Wuthering Heights,Emily BrontÃ«
0,8.,Jane Eyre,Charlotte BrontÃ«
0,9.,Moby Dick,Herman Melville
0,10.,The Scarlet Letter,Nathaniel Hawthorne
0,11.,Gulliver's Travels,Jonathan Swift
0,12.,The Pilgrim's Progress,John Bunyan
0,13.,A Christmas Carol,Charles Dickens
0,14.,David Copperfield,Charles Dickens
0,15.,A Tale of Two Cities,Charles Dickens
0,16.,Little Women,Louisa May Alcott
0,17.,Great Expectations,Charles Dickens
0,18.,"The Hobbit, or, There and Back Again",J.R.R. Tolkien
0,19.,"Frankenstein, or, the Modern Prometheus",Mary Shelley
0,20.,Oliver Twist,Charles Dickens
0,21.,Uncle Tom's Cabin,Harriet Beecher Stowe
0,22.,Crime and Punishment,Fyodor Dostoyevsky
0,23.,Madame Bovary: Patterns of Provincial life,Gustave Flaubert
0,24.,The Return of the King,J.R.R. Tolkien
0,25.,Dracula,Bram Stoker
0,26.,The Three Musketeers,Alexandre Dumas
0,27.,Brave New World,Aldous Huxley
0,28.,War and Peace,Leo Tolstoy
0,29.,To Kill a Mockingbird,Harper Lee
0,30.,The Wizard of Oz,L. Frank Baum
0,31.,Les MisÃ©rables,Victor Hugo
0,32.,The Secret Garden,Frances Hodgson Burnett
0,33.,Animal Farm,George Orwell
0,34.,The Great Gatsby,F. Scott Fitzgerald
0,35.,The Little Prince,Antoine de Saint-ExupÃ©ry
0,36.,The Call of the Wild,Jack London
0,37.,"20,000 Leagues Under the Sea",Jules Verne
0,38.,Anna Karenina,Leo Tolstoy
0,39.,The Wind in the Willows,Kenneth Grahame
0,40.,The Picture of Dorian Gray,Oscar Wilde
0,41.,The Grapes of Wrath,John Steinbeck
0,42.,Sense and Sensibility,Jane Austen
0,43.,The Last of the Mohicans,James Fenimore Cooper
0,44.,Tess of the d'Urbervilles,Thomas Hardy
0,45.,Harry Potter and the Sorcerer's Stone,J.K. Rowling
0,46.,Heidi,Johanna Spyri
0,47.,Ulysses,James Joyce
0,48.,The Complete Sherlock Holmes,Arthur Conan Doyle
0,49.,The Count of Monte Cristo,Alexandre Dumas
0,50.,The Old Man and the Sea,Ernest Hemingway
0,51.,"The Lion, the Witch, and the Wardrobe",C.S. Lewis
0,52.,The Hunchback of Notre Dame,Victor Hugo
0,53.,Pinocchio,Carlo Collodi
0,54.,One Hundred Years of Solitude,Gabriel GarcÃ­a MÃ¡rquez
0,55.,Ivanhoe,Walter Scott
0,56.,The Red Badge of Courage,Stephen Crane
0,57.,Anne of Green Gables,L.M. Montgomery
0,58.,Black Beauty,Anna Sewell
0,59.,Peter Pan,J.M. Barrie
0,60.,A Farewell to Arms,Ernest Hemingway
0,61.,The House of the Seven Gables,Nathaniel Hawthorne
0,62.,Lord of the Flies,William Golding
0,63.,The Prince and the Pauper,Mark Twain
0,64.,A Portrait of the Artist as a Young Man,James Joyce
0,65.,Lord Jim,Joseph Conrad
0,66.,Harry Potter and the Chamber of Secrets,J.K. Rowling
0,67.,The Red & the Black,Stendhal
0,68.,The Stranger,Albert Camus
0,69.,The Trial,Franz Kafka
0,70.,Lady Chatterley's Lover,D.H. Lawrence
0,71.,Kidnapped: The Adventures of David Balfour,Robert Louis Stevenson
0,72.,The Catcher in the Rye,J.D. Salinger
0,73.,Fahrenheit 451,Ray Bradbury
0,74.,A Journey to the Center of the Earth,Jules Verne
0,75.,Vanity Fair,William Makepeace Thackeray
0,76.,All Quiet on the Western Front,Erich Maria Remarque
0,77.,Gone with the Wind,Margaret Mitchell
0,78.,My Ãntonia,Willa Cather
0,79.,Of Mice and Men,John Steinbeck
0,80.,The Vicar of Wakefield,Oliver Goldsmith
0,81.,A Connecticut Yankee in King Arthur's Court,Mark Twain
0,82.,White Fang,Jack London
0,83.,Fathers and Sons,Ivan Sergeevich Turgenev
0,84.,Doctor Zhivago,Boris Leonidovich Pasternak
0,85.,The Decameron,Giovanni Boccaccio
0,86.,Nineteen Eighty-Four,George Orwell
0,87.,The Jungle,Upton Sinclair
0,88.,The Da Vinci Code,Dan Brown
0,89.,Persuasion,Jane Austen
0,90.,Mansfield Park,Jane Austen
0,91.,Candide,Voltaire
0,92.,For Whom the Bell Tolls,Ernest Hemingway
0,93.,Far from the Madding Crowd,Thomas Hardy
0,94.,The Fellowship of the Ring,J.R.R. Tolkien
0,95.,The Return of the Native,Thomas Hardy
0,96.,Sons and Lovers,D.H. Lawrence
0,97.,Charlotte's Web,E.B. White
0,98.,The Swiss Family Robinson,Johann David Wyss
0,99.,Bleak House,Charles Dickens
0,100.,PÃ¨re Goriot,HonorÃ© de Balzac
0,101.,Utopia,Thomas More
0,102.,"The History of Tom Jones, a Foundling",Henry Fielding
0,103.,Harry Potter and the Prisoner of Azkaban,J.K. Rowling
0,104.,Kim,Rudyard Kipling
0,105.,The Sound and the Fury,William Faulkner
0,106.,Harry Potter and the Goblet of Fire,J.K. Rowling
0,107.,The Mill on the Floss,George Eliot
0,108.,A Wrinkle in Time,Madeleine L'Engle
0,109.,The Hound of the Baskervilles,Arthur Conan Doyle
0,110.,The Two Towers,J.R.R. Tolkien
0,111.,The War of the Worlds,H.G. Wells
0,112.,Middlemarch,George Eliot
0,113.,The Age of Innocence,Edith Wharton
0,114.,The Color Purple,Alice Walker
0,115.,Northanger Abbey,Jane Austen
0,116.,East of Eden,John Steinbeck
0,117.,On the Road,Jack Kerouac
0,118.,Catch-22,Joseph Heller
0,119.,Around the World in Eighty Days,Jules Verne
0,120.,Hard Times,Charles Dickens
0,121.,Beloved,Toni Morrison
0,122.,Mrs. Dalloway,Virginia Woolf
0,123.,To the Lighthouse,Virginia Woolf
0,124.,The Magician's Nephew,C.S. Lewis
0,125.,Harry Potter and the Order of the Phoenix,J.K. Rowling
0,126.,The Sun Also Rises,Ernest Hemingway
0,127.,The Good Earth,Pearl S. Buck
0,128.,Silas Marner,George Eliot
0,129.,Love in the Time of Cholera,Gabriel GarcÃ­a MÃ¡rquez
0,130.,Rebecca,Daphne Du Maurier
0,131.,Jude the Obscure,Thomas Hardy
0,132.,Twilight,Stephenie Meyer
0,133.,A Passage to India,E.M. Forster
0,134.,The Plague,Albert Camus
0,135.,Nicholas Nickleby,Charles Dickens
0,136.,The Pearl,John Steinbeck
0,137.,Ethan Frome,Edith Wharton
0,138.,The Tale of Genji,Murasaki Shikibu
0,139.,The Giver,Lois Lowry
0,140.,The Alchemist,Paulo Coelho
0,141.,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson
0,142.,Robinson Crusoe,Daniel Defoe
0,143.,Tender is the Night,F. Scott Fitzgerald
0,144.,The Idiot,Fyodor Dostoyevsky
0,145.,Hatchet,Gary Paulsen
0,146.,The Kite Runner,Khaled Hosseini
0,147.,One Flew Over the Cuckoo's Nest,Ken Kesey
0,148.,The Portrait of a Lady,Henry James
0,149.,The Outsiders,S.E. Hinton
0,150.,Ben-Hur,Lew Wallace
0,151.,The Mayor of Casterbridge,Thomas Hardy
0,152.,"Cry, The Beloved Country",Alan Paton
0,153.,The Last Battle,C.S. Lewis
0,154.,Captains Courageous,Rudyard Kipling
0,155.,The Castle,Franz Kafka
0,156.,The Metamorphosis,Franz Kafka
0,157.,The Magic Mountain (Der Zauberberg),Thomas Mann
0,158.,James and the Giant Peach,Roald Dahl
0,159.,The Horse and His Boy,C.S. Lewis
0,160.,Angels & Demons,Dan Brown
0,161.,The Voyage of the Dawn Treader,C.S. Lewis
0,162.,The Bell Jar,Sylvia Plath
0,163.,Women in Love,D.H. Lawrence
0,164.,The Yearling,Marjorie Kinnan Rawlings
0,165.,O Pioneers!,Willa Cather
0,166.,The Handmaid's Tale,Margaret Atwood
0,167.,The Moonstone,Wilkie Collins
0,168.,The Old Curiosity Shop,Charles Dickens
0,169.,Little Dorrit,Charles Dickens
0,170.,Prince Caspian: The Return to Narnia,C.S. Lewis
0,171.,Sister Carrie,Theodore Dreiser
0,172.,The Silver Chair,C.S. Lewis
0,173.,The Hunger Games,Suzanne Collins
0,174.,This Side of Paradise,F. Scott Fitzgerald
0,175.,EugÃ©nie Grandet,HonorÃ© de Balzac
0,176.,Of Human Bondage,W. Somerset Maugham
0,177.,Dream of the Red Chamber,Cao Xueqin
0,178.,Life of Pi,Yann Martel
0,179.,Harry Potter and the Deathly Hallows,J.K. Rowling
0,180.,Invisible Man,Ralph Ellison
0,181.,Steppenwolf,Hermann Hesse
0,182.,The Sorrows of Young Werther,Johann Wolfgang von Goethe
0,183.,Bridge to Terabithia,Katherine Paterson
0,184.,The Invisible Man,H.G. Wells
0,185.,Holes,Louis Sachar
0,186.,Siddhartha,Hermann Hesse
0,187.,A Tree Grows in Brooklyn,Betty Smith
0,188.,"Through the Looking-Glass, and What Alice Found There",Lewis Carroll
0,189.,In Cold Blood,Truman Capote
0,190.,The House of the Spirits,Isabel Allende
0,191.,Adam Bede,George Eliot
0,192.,The Betrothed,Alessandro Manzoni
0,193.,The Book Thief,Markus Zusak
0,194.,Their Eyes Were Watching God,Zora Neale Hurston
0,195.,One Day in the Life of Ivan Denisovich,Aleksandr Isaevich Solzhenitsyn
0,196.,The Sea Wolf,Jack London
0,197.,Catching Fire,Suzanne Collins
0,198.,"Roll of Thunder, Hear My Cry",Mildred D. Taylor
0,199.,Death Comes for the Archbishop,Willa Cather
0,200.,The House of Mirth,Edith Wharton
0,201.,Light in August,William Faulkner
0,202.,The Pickwick Papers,Charles Dickens
0,203.,Remembrance of Things Past,Marcel Proust
0,204.,Barchester Towers and the Warden,Anthony Trollope
0,205.,The Bridge of San Luis Rey,Thornton Wilder
0,206.,The Help,Kathryn Stockett
0,207.,Murder on the Orient Express,Agatha Christie
0,208.,The Lovely Bones,Alice Sebold
0,209.,The Appeal,John Grisham
0,210.,Dombey And Son,Charles Dickens
0,211.,Slaughterhouse-Five,Kurt Vonnegut
0,212.,An American Tragedy,Theodore Dreiser
0,213.,The Bluest Eye,Toni Morrison
0,214.,Little House In the Big Woods,Laura Ingalls Wilder
0,215.,Pippi Longstocking,Astrid Lindgren
0,216.,Germinal,Ãmile Zola
0,217.,The Heart Is a Lonely Hunter,Carson McCullers
0,218.,The Woman In White,Wilkie Collins
0,219.,"Absalom, Absalom!",William Faulkner
0,220.,A Painted House,John Grisham
0,221.,The Girl With the Dragon Tattoo,Stieg Larsson
0,222.,A Room With a View,E.M. Forster
0,223.,Watership Down,Richard Adams
0,224.,Memoirs of a Geisha,Arthur Golden
0,225.,Our Mutual Friend,Charles Dickens
0,226.,Babbitt,Sinclair Lewis
0,227.,The Red Pony,John Steinbeck
0,228.,All the King's Men,Robert Penn Warren
0,229.,Things Fall Apart,Chinua Achebe
0,230.,Lorna Doone,R.D. Blackmore
0,231.,Johnny Tremain,Esther Forbes
0,232.,Anne of Avonlea,L.M. Montgomery
0,233.,Tuck Everlasting,Natalie Babbitt
0,234.,The BFG,Roald Dahl
0,235.,Cannery Row,John Steinbeck
0,236.,The Joy Luck Club,Amy Tan
0,237.,The Silmarillion,J.R.R. Tolkien
0,238.,Roots,Alex Haley
0,239.,Little House on the Prairie,Laura Ingalls Wilder
0,240.,Native Son,Richard Wright
0,241.,Stuart Little,E.B. White
0,242.,Cross Fire,James Patterson
0,243.,The Power and the Glory,Graham Greene
0,244.,A Clockwork Orange,Anthony Burgess
0,245.,The Phantom of the Opera,Gaston Leroux
0,246.,The Martian Chronicles,Ray Bradbury
0,247.,The Road,Cormac McCarthy
0,248.,The Way of All Flesh,Samuel Butler
0,249.,Diary of a Wimpy Kid: The Long Haul,Jeff Kinney
0,250.,Villette,Charlotte BrontÃ«
0,251.,The Curious Incident of the Dog In the Night-Time,Mark Haddon
0,252.,The Mysterious Island,Jules Verne
0,253.,Song of Solomon,Toni Morrison
0,254.,Nana,Ãmile Zola
0,255.,Quo Vadis,Henryk Sienkiewicz
0,256.,Main Street,Sinclair Lewis
0,257.,Matilda,Roald Dahl
0,258.,Lolita,Vladimir Vladimirovich Nabokov
0,259.,Paper Towns,John Green
0,260.,Sounder,William H. Armstrong
0,261.,"Are You There God? It's Me, Margaret",Judy Blume
0,262.,The Notebook,Nicholas Sparks
0,263.,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg
0,264.,Atlas Shrugged,Ayn Rand
0,265.,The Fountainhead,Ayn Rand
0,266.,Number the Stars,Lois Lowry
0,267.,The Firm,John Grisham
0,268.,Swann's Way,Marcel Proust
0,269.,Ender's Game,Orson Scott Card
0,270.,The Name of the Rose,Umberto Eco
0,271.,A Time to Kill,John Grisham
0,272.,Water for Elephants,Sara Gruen
0,273.,The Time Machine,H.G. Wells
0,274.,Eragon,Christopher Paolini
0,275.,The Hitchhiker's Guide to the Galaxy,Douglas Adams
0,276.,Buddenbrooks,Thomas Mann
0,277.,A Thousand Splendid Suns,Khaled Hosseini
0,278.,The Witch of Blackbird Pond,Elizabeth George Speare
0,279.,And Then There Were None,Agatha Christie
0,280.,A Separate Peace,John Knowles
0,281.,Breaking Dawn,Stephenie Meyer
0,282.,As I Lay Dying,William Faulkner
0,283.,The Girl Who Played With Fire,Stieg Larsson
0,284.,Where the Red Fern Grows,Wilson Rawls
0,285.,Le Morte D'Arthur,Thomas Malory
0,286.,Mockingjay,Suzanne Collins
0,287.,The Pillars of the Earth,Ken Follett
0,288.,Persian Letters,Montesquieu
0,289.,The Client,John Grisham
0,290.,Sula,Toni Morrison
0,291.,Tales of a Fourth Grade Nothing,Judy Blume
0,292.,The Merry Adventures of Robin Hood of Great Renown In Nottinghamshire,Howard Pyle
0,293.,Tortilla Flat,John Steinbeck
0,294.,"Look Homeward, Angel",Thomas Wolfe
0,295.,The Mystery of Edwin Drood,Charles Dickens
0,296.,Brideshead Revisited,Evelyn Waugh
0,297.,The Pelican Brief,John Grisham
0,298.,Atonement,Ian McEwan
0,299.,Washington Square,Henry James
0,300.,Like Water for Chocolate,Laura Esquivel
0,301.,The Golden Compass,Philip Pullman
0,302.,The Secret Life of Bees,Sue Monk Kidd
0,303.,The Fault In Our Stars,John Green
0,304.,Nostromo,Joseph Conrad
0,305.,Finnegans Wake,James Joyce
0,306.,The Brethren,John Grisham
0,307.,Coraline,Neil Gaiman
0,308.,Heart of Darkness,Joseph Conrad
0,309.,On the Banks of Plum Creek,Laura Ingalls Wilder
0,310.,Rebecca of Sunnybrook Farm,Kate Douglas Smith Wiggin
0,311.,The Ambassadors,Henry James
0,312.,The Secret Agent,Joseph Conrad
0,313.,The House on Mango Street,Sandra Cisneros
0,314.,Go Tell It on the Mountain,James Baldwin
0,315.,The Testament,John Grisham
0,316.,The Clan of the Cave Bear,Jean M. Auel
0,317.,Cranford,Elizabeth Cleghorn Gaskell
0,318.,Because of Winn-Dixie,Kate DiCamillo
0,319.,My Side of the Mountain,Jean Craighead George
0,320.,The Runaway Jury,John Grisham
0,321.,The Mouse and the Motorcycle,Beverly Cleary
0,322.,The Lost Symbol,Dan Brown
0,323.,The Forsyte Saga,John Galsworthy
0,324.,Gone Girl,Gillian Flynn
0,325.,The Lightning Thief,Rick Riordan
0,326.,The Last Days of Pompeii,Edward Bulwer Lytton
0,327.,The Reader,Bernhard Schlink
0,328.,Caddie Woodlawn,Carol Ryrie Brink
0,329.,The Tale of Despereaux,Kate DiCamillo
0,330.,The Girl Who Kicked the Hornet's Nest,Stieg Larsson
0,331.,Dear Mr. Henshaw,Beverly Cleary
0,332.,The Killer Angels,Michael Shaara
0,333.,Chronicle of a Death Foretold,Gabriel GarcÃ­a MÃ¡rquez
0,334.,The Five People You Meet In Heaven,Mitch Albom
0,335.,The Master and Margarita,Mikhail Bulgakov
0,336.,"Winesburg, Ohio",Sherwood Anderson
0,337.,"""P"" Is for Peril",Sue Grafton
0,338.,My Sister's Keeper,Jodi Picoult
0,339.,Barnaby Rudge,Charles Dickens
0,340.,Howards End,E.M. Forster
0,341.,The Broker,John Grisham
0,342.,The Camel Club,David Baldacci
0,343.,The Rainbow,D.H. Lawrence
0,344.,The Man In the Iron Mask,Alexandre Dumas
0,345.,Mary Poppins,P.L. Travers
0,346.,Artemis Fowl,Eoin Colfer
0,347.,Dear John,Nicholas Sparks
0,348.,Cold Mountain,Charles Frazier
0,349.,Flowers for Algernon,Daniel Keyes
0,350.,The Dark Is Rising,Susan Cooper
0,351.,Resurrection,Leo Tolstoy
0,352.,Fearless Fourteen,Janet Evanovich
0,353.,A Sentimental Journey Through France and Italy,Laurence Sterne
0,354.,The King of Torts,John Grisham
0,355.,The Graveyard Book,Neil Gaiman
0,356.,The Quiet American,Graham Greene
0,357.,The Chamber,John Grisham
0,358.,The English Patient,Michael Ondaatje
0,359.,Snow Falling on Cedars,David Guterson
0,360.,The Long Winter,Laura Ingalls Wilder
0,361.,"Sarah, Plain and Tall",Patricia MacLachlan
0,362.,Cross Country,James Patterson
0,363.,The Spy Who Came In from the Cold,John Le CarrÃ©
0,364.,A Game of Thrones,George R.R. Martin
0,365.,The Thorn Birds,Colleen McCullough
0,366.,Old Yeller,Fred Gipson
0,367.,"Ramona Quimby, Age 8",Beverly Cleary
0,368.,Death In Venice,Thomas Mann
0,369.,By the Shores of Silver Lake,Laura Ingalls Wilder
0,370.,Inferno,Dan Brown
0,371.,Schindler's List,Thomas Keneally
0,372.,Jonathan Livingston Seagull,Richard Bach
0,373.,The Stand,Stephen King
0,374.,The Last Juror,John Grisham
0,375.,Shiloh,Phyllis Reynolds Naylor
0,376.,Girl With a Pearl Earring,Tracy Chevalier
0,377.,The Murder of Roger Ackroyd,Agatha Christie
0,378.,It,Stephen King
0,379.,The Rainmaker,John Grisham
0,380.,The Poisonwood Bible,Barbara Kingsolver
0,381.,The Indian in the Cupboard,Lynne Reid Banks
0,382.,The Maltese Falcon,Dashiell Hammett
0,383.,The Warden,Anthony Trollope
0,384.,The Summons,John Grisham
0,385.,Encyclopedia Brown: Boy Detective,Donald J.  Sobol
0,386.,The Time Traveler's Wife,Audrey Niffenegger
0,387.,The Incredible Journey,Sheila Burnford
0,388.,Daughter of Fortune,Isabel Allende
0,389.,Shirley,Charlotte BrontÃ«
0,390.,"Bud, Not Buddy",Christopher Paul Curtis
0,391.,The Horse Whisperer,Nicholas Evans
0,392.,The Street Lawyer,John Grisham
0,393.,Nausea,Jean-Paul Sartre
0,394.,To Have and Have Not,Ernest Hemingway
0,395.,The Bridges of Madison County,Robert James Waller
0,396.,Anne of the Island,L.M. Montgomery
0,397.,The Winter of Our Discontent,John Steinbeck
0,398.,The Shining,Stephen King
0,399.,The Tenant of Wildfell Hall,Anne BrontÃ«
0,400.,First Family,David Baldacci
0,401.,The Partner,John Grisham
0,402.,The Girl on the Train,Paula Hawkins
0,403.,The Black Arrow: A Tale of the Two Roses,Robert Louis Stevenson
0,404.,The Rise of Silas Lapham,William Dea Howells
0,405.,The Choice,Nicholas Sparks
0,406.,The Virginian: A Horseman of the Plains,Owen Wister
0,407.,A Walk to Remember,Nicholas Sparks
0,408.,The Maze Runner,James Dashner
0,409.,The Westing Game,Ellen Raskin
0,410.,Misty of Chincoteague,Marguerite Henry
0,411.,Diary of a Wimpy Kid: The Last Straw,Jeff Kinney
0,412.,King Solomon's Mines,H. Rider Haggard
0,413.,The Princess of Cleves,Madame de (Marie-Madeleine Pioche de La Vergne) La Fayett
0,414.,Jacob Have I Loved,Katherine Paterson
0,415.,Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien
0,416.,Misery,Stephen King
0,417.,The Cider House Rules,John Irving
0,418.,King of the Wind,Marguerite Henry
0,419.,The Once and Future King,T. H. White
0,420.,The Witches,Roald Dahl
0,421.,The Subtle Knife,Philip Pullman
0,422.,When You Reach Me,Rebecca Stead
0,423.,Carrie,Stephen King
0,424.,The Moon and Sixpence,W. Somerset Maugham
0,425.,The Higher Power of Lucky,Susan Patron
0,426.,"Looking Backward, 2000-1887",Edward Bellamy
0,427.,The Wings of the Dove,Henry James
0,428.,The Summer of the Swans,Betsy Cromer Byars
0,429.,Dangerous Liaisons,Choderlos de Laclos
0,430.,Jurassic Park,Michael Crichton
0,431.,The Absolutely True Diary of a Part-time Indian,Sherman Alexie
0,432.,The Grey King,Susan Cooper
0,433.,The Leopard,Giuseppe Tomasi di Lampedusa
0,434.,The Mammoth Hunters,Jean M. Auel
0,435.,The Trumpet of the Swan,E.B. White
0,436.,The Lucky One,Nicholas Sparks
0,437.,These Happy Golden Years,Laura Ingalls Wilder
0,438.,Arrowsmith,Sinclair Lewis
0,439.,Julie of the Wolves,Jean Craighead George
0,440.,The Screwtape Letters,C.S. Lewis
0,441.,The Fall,Albert Camus
0,442.,The No. 1 Ladies' Detective Agency,Alexander McCall Smith
0,443.,Worst Case,James Patterson
0,444.,Lost Horizon,James Hilton
0,445.,The Gunslinger,Stephen King
0,446.,The Slave Dancer,Paula Fox
0,447.,Harry Potter and the Half-Blood Prince,J.K. Rowling
0,448.,Inkheart,Cornelia Funke
0,449.,Ramona and her Father,Beverly Cleary
0,450.,Inkspell,Cornelia Funke
0,451.,Ramona the Pest,Beverly Cleary
0,452.,Walk Two Moons,Sharon Creech
0,453.,Miss Peregrine's Home for Peculiar Children,Ransom Riggs
0,454.,The Chocolate War,Robert Cormier
0,455.,Sophie's Choice,William Styron
0,456.,Looking for Alaska,John Green
0,457.,Breakfast at Tiffany's,Truman Capote
0,458.,The Razor's Edge,W. Somerset Maugham
0,459.,Dreamcatcher,Stephen King
0,460.,Orlando,Virginia Woolf
0,461.,The Things they Carried,Tim O'Brien
0,462.,Little Town on the Prairie,Laura Ingalls Wilder
0,463.,Nights in Rodanthe,Nicholas Sparks
0,464.,The Amber Spyglass,Philip Pullman
0,465.,The Miraculous Journey of Edward Tulane,Kate DiCamillo
0,466.,Flatland,Edwin A. Abbott
0,467.,Diary of a Wimpy Kid,Jeff  Kinney
0,468.,The Memory Keeper's Daughter,Kim Edwards
0,469.,The Wedding,Nicholas Sparks
0,470.,Fried Green Tomatoes at the Whistle-Stop Cafe,Fannie Flagg
0,471.,The Cricket in Times Square,George Selden
0,472.,The Phantom Tollbooth,Norton Juster
0,473.,Rob Roy,Walter Scott
0,474.,The Death of Ivan Ilych,Leo Tolstoy
0,475.,Alex Cross's Trial,James Patterson
0,476.,Kenilworth,Walter Scott
0,477.,The Life and Opinions of Tristram Shandy,Laurence Sterne
0,478.,The Remains of theDay,Kazuo Ishiguro
0,479.,"M.C. Higgins, The Great",Virginia Hamilton
0,480.,Call It Courage,Armstrong Sperry
0,481.,Go Set a Watchman,Harper Lee
0,482.,Bleachers,John Grisham
0,483.,Elijah of Buxton,Christopher Paul Curtis
0,484.,Swimsuit,James Patterson
0,485.,Cat's Cradle,Kurt Vonnegut
0,486.,The Caine Mutiny,Herman Wouk
0,487.,The Heart of the Matter,Graham Greene
0,488.,"Harriet, the Spy",Louise Fitzhugh
0,489.,Darkness at Noon,Arthur Koestler
0,490.,A Prayer for Owen Meany,John Irving
0,491.,The God of Small Things,Arundhati Roy
0,492.,The Associate,John Grisham
0,493.,The Shack,William P. Young
0,494.,The Naked and the Dead,Norman Mailer
0,495.,The Sea of Monsters,Rick Riordan
0,496.,Stranger in a Strange Land,Robert A. Heinlein
0,497.,Vision in White,Nora Roberts
0,498.,The Whipping Boy,Sid Fleischman
0,499.,Room,Emma Donoghue
0,500.,Deception Point,Dan Brown
